Entity Name,Type,Address,BEN Number,FRN Number,DUB Number,SAM ID,Contract Number,Students Over 3,Students with Lunch,CEP Score,Physical Size,District Percentage,State,City,Zip,Total Funding Committed,Funding Years Active
"Ohr Eliyahu Academy","School","CA","101136","1699049973","","","","","","","","","CA","","","$82,200.88","2025, 2024, 2023, 2022, 2021"
"Orlando Torah Academy","School","FL","16067666","1699007692","","","","","","","","","FL","","","$38,275.63","2025, 2024, 2023, 2022, 2017"
"People'S Elementary School","School","NY","16069348","1699015331","","","","","","","","","NY","","","$80,230.25","2024, 2023, 2022, 2021, 2020"
"Philips Academy Charter School Of Paterson","School","NJ","17007669","1699131598","","","","","","","","","NJ","","","$457,234.83","2025, 2024, 2023, 2022, 2021"
"Rabbinical Yeshiva Of Cincinnati","School","OH","17001481","1699059797","","","","","","","","","OH","","","$46,790.06","2025, 2024, 2023, 2022, 2021"
"Rambam High School","School","NY","12743","1699145792","","","","","","","","","NY","","","$32,159.83","2025, 2024, 2023, 2022, 2021"
"S A R Academy","School","NY","10733","1799024316","","","","","","","","","NY","","","$265,239.97","2025, 2024, 2023, 2022, 2021"
"Saugerties Public Library","Library","NY","124187","1999007063","","","","","","","","","NY","","","$33,712.20","2025, 2024, 2023, 2022, 2021"
"Sch For Language & Development Dba Tiegerman School","School","NY","12946","1699016250","","","","","","","","","NY","","","$224,397.27","2025, 2024, 2023, 2022, 2021"
"Shulamith School For Girls","School","NY","17007791","1699087668","","","","","","","","","NY","","","$92,180.98","2025, 2024, 2023, 2022, 2021"
"Solomon Schechter Sch. Of Queens","School","NY","12310","1699020562","","","","","","","","","NY","","","$67,788.62","2025, 2024, 2023, 2022, 2021"
"St Demetrios Greek American School","School","NY","11468","1699047347","","","","","","","","","NY","","","$229,747.08","2025, 2024, 2023, 2022, 2021"
"St Francis De Sales Deaf Sch","School","NY","11981","1699059477","","","","","","","","","NY","","","$213,291.09","2025, 2024, 2023, 2022, 2021"
"St Mark'S Day School","School","NY","11782","1699028237","","","","","","","","","NY","","","$66,313.62","2025, 2024, 2023, 2022, 2021"
"St Peters Child Care Center, Inc.","School","NY","17024852","2099082589","","","","","","","","","NY","","","$107,503.22","2025, 2024, 2023, 2022, 2021"
"St Raymond Academy For Girls","School","NY","10623","1699029150","","","","","","","","","NY","","","$70,913.69","2025, 2024, 2023, 2022, 2021"
"Stanford Eisenberg Knoxville Jewish Day School","School","TN","16057300","1699115126","","","","","","","","","TN","","","$342,271.96","2024, 2023, 2022, 2021, 2020"
"Step Special Torah Education Program","School","NY","209474","1699086345","","","","","","","","","NY","","","$736,951.68","2025, 2024, 2023, 2022, 2021"
"Tiferes Bais Yaakov School","School","NJ","16065148","1799102700","","","","","","","","","NJ","","","$238,996.00","2025, 2024, 2023, 2022, 2018"
"Toras Emes Academy Of Miami","School","FL","194840","1699090343","","","","","","","","","FL","","","$297,156.20","2025, 2024, 2023, 2022, 2021"
"Torat Hayim Hebrew Academy Dba Tashbar Sephardic Yeshiva Katana","School","CA","197806","1699028306","","","","","","","","","CA","","","$144,706.28","2025, 2024, 2023, 2022, 2021"
"Tree Of Knowledge Learning Academy- Florida","School","FL","16045747","1699000635","","","","","","","","","FL","","","$91,509.76","2023, 2022, 2021, 2020, 2019"
"Tree Of Knowledge Learning Academy -New Jersey","School","NJ","16077544","1699021554","","","","","","","","","NJ","","","$50,275.18","2025, 2024, 2023, 2022, 2021"
"Tree Of Knowledge Learning Academy","School District","FL","17028956","2199063992","","","","","","","","","FL","","","$21,863.81","2024, 2023, 2022, 2021"
"Valley Torah High School","School","CA","102911","1699037179","","","","","","","","","CA","","","$149,449.46","2025, 2024, 2023, 2022, 2021"
"Westchester School For Special Children","School","NY","11097","1699029155","","","","","","","","","NY","","","$402,603.84","2025, 2024, 2023, 2022, 2021"
"The Williamsburg Charter School","School","NY","16034151","1699042883","","","","","","","","","NY","","","$785,436.26","2025, 2024, 2023, 2022, 2021"
"Yeshiva Of Central Queens","School","NY","12320","1699014174","","","","","","","","","NY","","","$66,093.26","2025, 2024, 2023, 2022, 2021"
"Yeshiva Gedolah Of Waterbury","School","CT","17017727","1899074002","","","","","","","","","CT","","","$76,941.20","2025, 2024, 2023, 2022, 2021"
"Yeshiva Har Torah","School","NY","160244","1899029234","","","","","","","","","NY","","","$125,782.93","2025, 2024, 2023, 2022, 2021"
"Yeshiva Ketana Of Los Angeles","School","CA","17020346","1999046678","","","","","","","","","CA","","","$63,240.58","2025, 2024, 2023, 2022, 2021"
"Yeshiva Ktana Of Waterbury","School","CT","16067400","1699080125","","","","","","","","","CT","","","$113,457.58","2025, 2024, 2023, 2022, 2021"
"Yeshiva Of Greater Washington","School","MD","16045831","1699020485","","","","","","","","","MD","","","$130,272.00","2025, 2024, 2023, 2022, 2021"
"Yeshiva Ohr Boruch","School","IL","17017669","1899063178","","","","","","","","","IL","","","$89,476.93","2025, 2024, 2023, 2022, 2021"
"Ohr Yitzchock","School","NY","233802","1699012442","","","","","","","","","NY","","","$58,402.90","2025, 2023, 2022, 2016"
"Yeshiva Primary","School","NY","16056537","1699042108","","","","","","","","","NY","","","$237,433.69","2025, 2024, 2023, 2022, 2021"
"Yeshiva Rabbi S R Hirsch Sch","School","NY","10175","1699049105","","","","","","","","","NY","","","$71,873.51","2025, 2024, 2023, 2022, 2021"
"Yeshiva Rav Isacsohn Academy","School","CA","100724","1699037180","","","","","","","","","CA","","","$119,743.49","2025, 2024, 2023, 2022, 2021"
"Yeshiva School Of Far Rockaway","School","NY","12879","1699020552","","","","","","","","","NY","","","$4,611.48","2025, 2024, 2023, 2022, 2021"
"","","","100","","","","","","","","","","","","","",""
